id;design;graph;method;K;srmr;node_act;node_inh;nLog10P;prec;rec;f1;tpr;fpr
196;1LV_all;small;gLASSO;1;0.087028146;4.33E-10;4.27E-10;9.068542129;1;0.411290323;0.582857143;0.411290323;0
197;1LV_all;small;gLASSO;1;0.091164763;4.64E-07;0.00019254;6.032452024;1;0.350806452;0.519402985;0.350806452;0
198;1LV_all;small;gLASSO;1;0.081208882;0.000463325;6.48E-10;8.887394998;1;0.328629032;0.494688923;0.328629032;0
199;1LV_all;small;gLASSO;1;0.084260255;0.001711381;0.019437949;2.465623298;1;0.405241935;0.576757532;0.405241935;0
200;1LV_all;small;gLASSO;1;0.094827265;8.79E-07;1.55E-07;6.508638306;1;0.381048387;0.551824818;0.381048387;0
201;1LV_all;small;gLPCA;1;0.048350477;0.000747333;2.45E-08;7.309871264;1;0.635080645;0.776818742;0.635080645;0
202;1LV_all;small;gLPCA;1;0.050431731;0.002649569;0.000228663;3.339773344;1;0.564516129;0.721649485;0.564516129;0
203;1LV_all;small;gLPCA;1;0.060400185;0.601536502;2.44E-07;6.312147778;1;0.677419355;0.807692308;0.677419355;0
204;1LV_all;small;gLPCA;1;0.06143986;0.000412322;5.53E-06;4.955932735;1;0.588709677;0.741116751;0.588709677;0
205;1LV_all;small;gLPCA;1;0.052456874;0.031679246;1.07E-07;6.669422573;1;0.598790323;0.749054224;0.598790323;0
206;1LV_all;small;gLPCA;1;0.047425169;0.001513075;2.15E-11;10.36656694;1;0.635080645;0.776818742;0.635080645;0
207;1LV_all;small;gLPCA;1;0.207267433;0.017391036;2.61E-05;4.282749408;1;0.510080645;0.675567423;0.510080645;0
208;1LV_all;small;gLPCA;1;0.058891909;0.000578776;6.91E-05;3.85977267;1;0.663306452;0.797575758;0.663306452;0
209;1LV_all;small;gLPCA;1;0.051714774;8.19E-06;0.000207241;4.785611883;1;0.637096774;0.778325123;0.637096774;0
210;1LV_all;small;gLPCA;1;0.046268364;0.001959422;0.000462133;3.034202905;1;0.629032258;0.772277228;0.629032258;0
211;1LV_all;small;gLPCA;1;0.058522023;6.03E-06;0.000671104;4.918322073;1;0.677419355;0.807692308;0.677419355;0
